"Description: ","Linear trend statistics"
"Station: ","final_1971_2005_Paris_rcp45"
"Latitude: ","48.85"
"Longitude: ","2.35"
"Climpact_version: ","3.1.6"
"Date_of_calculation: ","2024-01-01"
Index,Frequency,StartYear,EndYear,Lower bound,Slope,Upper bound
prcptot,JJA,1971,2100,-0.562076632109589,-0.295222898716981,0.00885480436363622
prcptot,SON,1971,2100,-0.218007749907692,0.0690466805581395,0.347763724137931
sdii,annual,1971,2100,0.000170087863029047,0.00350685872272144,0.00697402722167137
r95p,annual,1971,2100,-0.376212406153846,-0.0412307035051546,0.274268982857143
r99p,annual,1971,2100,-0.0337351617391304,0,0
r95ptot,annual,1971,2100,-0.0521700714983282,-0.0121586467245169,0.0285418096488668
r99ptot,annual,1971,2100,-0.0157880831505295,0,0
rx3day,annual,1971,2100,-0.0559304663040004,0.00662999096655823,0.0654745776716419
rx3day,monthly,1971,2100,-0.00108368199288255,0.000340365042148603,0.00176080753667956
rx3day,DJF,1971,2100,-0.0251632490218485,0.00286776961429493,0.0374905855200002
rx3day,MAM,1971,2100,-0.0271071935999995,0.01189899509434,0.0490415800597598
rx3day,JJA,1971,2100,-0.0604899873163634,-0.0121998857142847,0.0353431492490331
rx3day,SON,1971,2100,-0.0387271426909085,0.00148729158620755,0.0414457501642109
r30mm,annual,1971,2100,0,0,0
r30mm,monthly,1971,2100,0,0,0
r30mm,DJF,1971,2100,0,0,0
r30mm,MAM,1971,2100,0,0,0
r30mm,JJA,1971,2100,0,0,0
r30mm,SON,1971,2100,0,0,0
tx2tn2,annual,1971,2100,0.0099009900990099,0.0158730158730159,0.0222222222222222
txb2tnb2,annual,1971,2100,0,0,0
spei3,FEB,1971,2100,-0.00305231153752027,0.00156096698469285,0.00670211719842177
spei3,MAY,1971,2100,-0.00267361913099465,0.00251448657779708,0.0080575963686659
spei3,AUG,1971,2100,-0.0112177245715194,-0.00696023360986855,-0.00227958305304103
